category,question,reason
房間情況,確認哪些東西是房東提供的,避免退租時產生設備歸屬爭議
房間情況,衣櫃拉門是否順暢,拉門容易卡住或損壞，會影響日常使用
房間情況,櫃子是否有發霉,發霉可能代表房間潮濕或通風不良
房間情況,房間是否有冰箱,學生租屋常需要冰箱保存食物或飲料
房間情況,電燈是否正常,確認基本設備是否可用
房間情況,插座位置與數量是否足夠,影響書桌、床邊、冰箱與電腦使用
房間情況,對外窗是否能打開,影響通風、採光與濕氣
房間情況,房間是否有異味,異味可能來自潮濕、排水或通風問題
房間情況,是否有昆蟲或蟑螂,代表環境清潔與管線狀況需要注意
房間情況,隔音是否良好,影響睡眠與讀書品質
房間情況,是否可以開火或使用快煮鍋,影響生活方式與餐費
房間情況,冷氣是否能正常運作,夏天電費與居住舒適度都很重要
房間情況,冷氣遙控器是否正常,避免入住後無法使用冷氣
廁所,馬桶沖水是否正常,確認衛浴基本功能
廁所,排水是否正常,避免積水或水管堵塞
廁所,熱水器是否有熱水,確認洗澡是否正常
廁所,水龍頭與蓮蓬頭水壓是否足夠,影響日常使用體驗
公共設施,飲水機位置在哪裡,學生租屋常需要飲用水
公共設施,曬衣場位置與通風是否良好,影響衣服是否容易乾
公共設施,洗衣機與烘衣機是否定期清潔,影響衛生與使用品質
公共設施,洗衣與烘衣一次多少錢,影響每月生活成本
費用,網路費是否包含在房租內,避免入住後有額外費用
費用,何時可以入住,確認入住時間是否符合需求
費用,押金何時交與金額多少,避免付款流程不清楚
費用,房租是一個月多少還是一學期多少,中央大學附近常見學期制租金
費用,是否可以申請租屋補助,影響實際租屋成本
費用,租約通常簽半年還是一年,影響彈性與退租安排
費用,水電費一度多少,電費高低會影響夏天冷氣成本
費用,電費是否依台電或房東自訂,台電計價通常較透明
車位,腳踏車或機車停車位置在哪裡,影響日常通勤便利性
車位,停車是否需要標籤或額外費用,避免入住後無法停車
車位,停車位是否有數量限制,中央附近車位可能不足
其他,垃圾車或垃圾集中區在哪裡,影響日常生活便利性
其他,爸媽開車來是否方便停車,搬家或探訪時很重要
其他,晚上回家路線是否安全,學生晚歸時需要注意
其他,附近是否有墳墓或環境忌諱,部分學生或家長可能會在意
其他,房間是否潮濕或有霉味,中央附近部分房源可能通風或濕氣問題明顯